decision_id,disposition,evidence_ids,rationale,alternatives
C066,completion_adjudication,C066,"After reviewing the dissertation appendix and its distinction between affiliation and political ties, accept its explicit PMDB label for the 2015/17 historical service as a credible dated observation. Apply the same forward-continuity adjudication used for Maria Fernanda Ramos Coelho and Sachsida, with targeted searches for joining, departure, expulsion and denial. The 2018 account of MDB prospective candidates is corroborating context, not a membership certificate. The 2021 personal denial concerns candidacy, not affiliation. No specific contradictory affiliation event was found. Primary MDB on April 16 2020 is an adjudication from historical observation and continuity, not an exact 2020 certificate or affiliation at nomination. This creates a one-day MDB return through actual vacancy service; it is not chosen to preserve an adjacent set. C062 temporary affiliation blocker is superseded, while its underlying sources and reasoning remain inspectable.",[]
C068,completion_adjudication,C068,"Multiple contemporary records establish Braga Netto exercising direction of the Defense Ministry after his published appointment on March30: the official commanders succession meeting, an official ministerial audience, and substantive rewriting and publishing of ministry policy. Therefore select actual effective service March30 under the existing effective-service convention. Retain the signed April1 possession term as a formal-administrative date discrepancy. Do not invent a vacancy occupant from another military post and do not treat the later paperwork as proof no appointed minister exercised the ministry earlier.",[]
C069,completion_adjudication,C069,"The official TSE public affiliation record explicitly dates personal PSDB affiliation to 1997-01-31, with regular status and no recorded departure or cancellation. This is a historical event field in a later registry observation, not backward projection of an undated current party label. Identity is matched to the named cabinet officeholder using the official government identifier verification retained alongside the extract. Apply documented continuity from that dated membership to the qualifying service; targeted contrary-event searches found no specific conflicting personal change. Registry non-matches for other people are not non-affiliation evidence. The derived registry extract retains only scoped public officeholder records and source-query response hashes.",[]
C070,completion_adjudication,C070,"The official TSE public affiliation record explicitly dates personal UNIAO affiliation to 2022-03-20, with regular status and no recorded departure or cancellation. This is a historical event field in a later registry observation, not backward projection of an undated current party label. Identity is matched to the named cabinet officeholder using the official government identifier verification retained alongside the extract. Apply documented continuity from that dated membership to the qualifying service; targeted contrary-event searches found no specific conflicting personal change. Registry non-matches for other people are not non-affiliation evidence. The derived registry extract retains only scoped public officeholder records and source-query response hashes.",[]
C072,completion_adjudication,C072,"Adjudicate effective service by March31 from contemporaneous observed ministry direction: Exame March31 reports that França had already redirected ministry cadres; Reuters March31 confirms his selection of the secretary-general directly with the selected diplomat. These support actual direction after published appointment, beyond nomination alone. FUNAG separately dates nomination March31 and its responsibility roll uses the signed decree date March29; neither date is mislabeled an exact possession observation. Retain the April6 public possession and legacy start as a contrary administrative-date assertion, not proof that ministry direction remained vacant until then. Choose March31, the latest date established by the earlier management observations, with March30–31 residual effective-entry bounds. Retain Brandelli as the designated vacancy replacement on March30; no new evidence establishes his personal affiliation. The explicit historical unaffiliated classification of França’s ministerial service continues to apply to that service when its effective start is corrected; no affiliation switch is invented.",[]
C073,completion_adjudication,C073,"Câmara parliamentary licences, dated decrees and actual-service records establish six real departures/interruption episodes in Celso Sabino’s service. Split officeholding only; retain his separate personal affiliation spells. Include seven vacancy segments: expressly designated Carlos Henrique Menezes Sobral November30–December3 2023 and February1–2 2025, and Ana Carla Machado Lopes in the other documented vacancies. Her December2024 identity is an explicit statutory-deputy adjudication from her continuing executive-secretary appointment and Decree8851, with no competing designation found; do not call it a retrieved vacancy-specific nomination. Select latest supported returns December6 2023 and November17 2025 where nomination, ministerial activity and parliamentary service conflict; retain the earlier alternatives and their sources. End Sabino December19 2025 at published dismissal and legislative return, with Ana Carla until Gustavo’s actual possession December23. An isolated substitute signature never establishes a gap by itself: these vacancies are independently established by departure/legislative-service evidence. Ana Carla’s explicit lack of União affiliation does not establish general non-affiliation; the initial UNKNOWN status is superseded by C075 historical PSDB membership and forward continuity. Carlos’s post-January2023 primary is separately adjudicated in C074; his2018 status is not backprojected.",[]
C075,completion_adjudication,C075,"The explicitly dated July27 2016 Filiaweb historical copy of TSE records lists the exact rare full name Ana Carla Machado Lopes in PSDB at Belem/PA, with entry October2 2013. Identity is adjudicated from full name, Para legal/professional history in the official MTur curriculum, and the official2019 ALEPA roster naming the same person as PSDB leadership chief of staff. The employment is an identity corroborator, not the membership evidence: the historical affiliation row supplies that fact. Apply the declared forward-continuity rule from the positive dated membership through her independently documented vacancy services. Targeted searches found no specific subsequent personal resignation, expulsion, new affiliation or general non-affiliation statement. The2025 statement that she was not affiliated to Uniao is consistent with PSDB and does not imply no party. Current TSE municipal-list non-matches do not establish a departure. This is a historical observation plus continuity and contextual identity adjudication, not a current certificate or an exact identifier match; source age and its own update warning remain explicit. Do not invent a non-affiliation alternative merely from absent current data. The five office interruptions do not create five personal affiliation events; one continuous affiliation spell supports the five service spells. Sabino return-date alternatives remain separately set-changing for PSDB representation.",[]
R14,selected_contemporaneous_affiliations,AFF-012;AFF-044;BOL-E10;BOL-E22,PSL persists after Bolsonaro political departure; organizational merger and subsequent personal PL entry are distinct events.,[]
R15,adjudicated_suspension_and_expulsion,AFF-020;AFF-021;AFF-023;AFF-054;BOL-E03;BOL-E04;BOL-E05;BOL-E06;BOL-E23,Retain formal membership during suspension of affiliate rights from2019-10-31 under art21III/§2. End NOVO on notified expulsion May7 under art21VII. Art23V requires express stay; targeted research found no filed appeal or granted stay; later accounts confirm completed expulsion. Public description and governing rule support primary decision without claiming cancellation-register verification.,[]
R16,bounded_date_convention,AFF-024;AFF-025;BOL-E12;BOL-E13,"PSDB at entry. CNN report explicitly places exit earlier than June19 and reproduces personal confirmation; broad lower bound remains day after supported entry because a contemporaneous local column says March. Use latest admissible June18, not reporting day, as uniform convention; do not claim exact duration.",[]
R17,bounded_date_convention_conflict_resolved,AFF-013;AFF-014;AFF-015;AFF-055;AFF-056;BOL-E01;BOL-E02;BOL-E18,"Contemporary September2020 completed-departure account and October corroboration outweigh January2022 retrospective2021 year and stale PP roster. Last supported PP observation August26 gives lower August27; September20 report says recent earlier exit, giving latest September19. Choose latter by declared convention; no-party until Republicanos joining.",[]
R18,selected_contemporaneous_affiliation,AFF-015;AFF-016;BOL-E19,Historical no-prior-affiliation statement supports unaffiliated status until actual March28 Republicanos joining. March30 decree signature is not the departure day; publication/actual succession March31.,[]
R19,adjudicated_no_party,AFF-017;AFF-018;AFF-019;OFF-051,May2021 personal denial directly addresses false PSL attribution; January2023 never-affiliated statement explicitly covers prior tenure; official Senate testimony corroborates no União membership. Specific denial beats ungrounded roster labels.,[]
R20,adjudicated_no_party_continuity,AFF-010;AFF-011;LEG-ba6b7e4f1910;BOL-E09;BOL-E10;BOL-E11,2018 withdrawal announcement followed by express incoming no-party roster establishes completed exit by cabinet entry.2021 contemporaneous no-party quotation corroborates continuity. Targeted rejoining search found no dated event. Later biography organizational-chain labels have no rejoining date and conflict with these personal-status observations; reject mechanical PRP incorporation.,[]
R21,selected_party_change,AFF-026,"Party itself reports official PP joining onMarch24; use personal membership, separately from portfolio sponsorship.",[]
R22,effective_entry_adjudicated,OFF-026;OFF-027;OFF-028,Official Chamber leave and executive management records support actual entry March31. April6 is public ceremony and March20 is unsupported.,[]
R23,selected_party_change,AFF-012;BOL-E22,"Completed March27 PL affiliation ends personal Republicanos contribution that day. Any aggregate gap must be determined from all other witnesses, not overlapping inclusive dates.",[]
R24,selected_party_change,AFF-032;BOL-E20,"PSC at ministerial entry from inherited direct assertion, PL signing March30 evening. March31 published dismissal makes March30 observed PL cabinet service under close-of-day convention.",[]
R25,selected_affiliation_and_entry,LEG-342db9e7f38f;BOL-E17;BOL-E21;LEG-8c8c4650eaeb;BOL-E18;BOL-E22,"Contemporaneous April roster labels PSD, supported by political history. Published decree and actual possession support March31 entry. | Contemporaneous incoming profile explicitly Republicanos. March30 signature versus March31 publication/possession resolved using effective daily succession March31.",[]
V5W1D001,retain_unresolved_affiliation_after_new_primary_channels,C035;V5W1E001;V5W1E002;V5W1E003,"Retain the three Ivani dos Santos UNKNOWN affiliation intervals and genuine vacancy-acting services. Newly checked historical PMDB/MDB governing-body records do not identify her; such bodies are a strict subset of party affiliates and have migration limits. The academic source has no party-state observation and its identity is only compatible. Registry documentation does not establish an exhaustive exact-person historical negative. No supported finite alternative set follows, so all 77 days remain completion blockers. Neither service dates nor party sets change.",[]
V5W2D001,targeted_research_unknown_retained,C034;C074;V5W2E001;V5W2E002,"Historical SGIP3 governing-body screening and new scoped Filia geography/identity checks did not establish a dated 2018 personal affiliation. Returned governing members are not an exhaustive affiliate universe, and current-list absence cannot show historical non-affiliation. No evidence restricts all credible alternatives to MDB and UNAFFILIATED. Retain UNKNOWN on December31 2018; do not backproject the qualified January25 2023 MDB observation.",[]
V5W2D002,statutory_vacancy_succession_reconfirmed,C034;V5W2E003,"Retain the December31 2018 statutory vacancy succession. The original January1 2019 DOU page1 explicitly dismisses Carlos Henrique Menezes Sobral as executive secretary effective January1. Decree8851/2016 article1 III supplies executive-secretary substitution during vacancy unless a specific presidential designation exists. With C034 Marun publication-date departure and the named continuing deputy, this supports the existing one-day adjudication. No vacancy-specific Sobral decree is claimed; no competing designation or earlier departure was established. No change to routine-leave/signature-only rule or half-open dates.",[]
V5W3D001,v5_targeted_affiliation_review_unresolved,V5W3E001,"The three municipalities follow the prior documented birth/work biography, supplementing already exhausted DF and Sao Paulo queries. All 39 available party identifiers were checked in each municipality; 37726,2034,14473 rows respectively, with no errors. This is not a national historical 2020 registry and does not establish non-affiliation or a bounded set of alternatives. Retain UNKNOWN for 2020-04-24/2020-04-29 and unchanged vacancy service.",[]
V5W3D002,v5_targeted_affiliation_review_unresolved,V5W3E002,"The original two-page minute contains approval and a reference to Opinion 014/2022, not the opinion text or a declaration of non-affiliation. This cannot date a personal affiliation status in April 2020. The prior PT/Araucaria historical same-name row remains identity-unconfirmed; no bridge to its masked voter identifier was recovered. Preserve UNKNOWN for 2020-04-28/2020-04-29 and unchanged vacancy service.",[]
V5W3D003,v5_targeted_affiliation_review_unresolved,V5W3E003,"The original ADPF directory independently identifies the organization in the prior desfiliação reports as a professional association, not a political party. Neither this role nor police employment, institutional testimony, or the appointing politician supplies personal party status in February 2020. Personnel-declaration searches recovered no qualifying observation or finite alternatives. Preserve UNKNOWN for 2020-02-14/2020-02-18 and unchanged vacancy service.",[]
V5W4D001,retain_unresolved_personal_affiliation,V5W4E001,"V5 original-source follow-up: CMB committee minute 57 of 2021-04-16 (visually inspected) identifies Sérgio José Pereira and the underlying SEI note 13261/2021/ME. Its favorable fiscal-council eligibility assessment covers professional experience, education and statutory impediments; it contains no explicit personal party declaration. Minute 69 is about successor Thiago Meirelles and cannot be attributed to Sérgio. No new evidence bounds his personal affiliation on March30–31. Retain UNKNOWN with no invented finite alternatives. Vacancy service dates and daily-closing convention remain unchanged.",[]
V5W4D002,retain_unresolved_personal_affiliation,V5W4E002,"V5 original-source follow-up: original Senate MSF14/2021 dossier (MRE CV, dm8953346) and committee report dm8986660 establish identity/career, including birthplace Garibaldi/RS; neither states personal affiliation. New scoped Garibaldi public TSE scan:39 party queries,3030 rows,all successful,no exact target. Birthplace does not establish electoral domicile and current municipal regular-record absence is not historical nonaffiliation. The service-sensitivity outgoing state stays UNKNOWN. Retain UNKNOWN with no invented finite alternatives. Vacancy service dates and daily-closing convention remain unchanged.",[]
V5W4D003,retain_unresolved_personal_affiliation,V5W4E003,"V5 new pre-service personnel channel: public mirror of Terracap eligibility minute dated2019-10-16 names Jonathas and case00111-00010585/2019-82, declaration and unspecified negative certificates including TSE. Neither the certificate type nor an explicit affiliation statement is reproduced. Header says19th meeting while footer says17th; original Terracap archive returns403. This is a source-discovery/limitation record, not a verified original or proof of nonaffiliation. W5 independently reviewed the 2022 Petrobras issuer filing; independence/PEP declarations likewise do not establish the March2021 personal party state. Retain UNKNOWN with no invented finite alternatives. Vacancy service dates and daily-closing convention remain unchanged.",[]
V5W5D002,correct_capacity_preserve_service_dates,V5W5E002,"Official MCom 2022 responsibility roll, updated January 2 2023, dates Fabio Faria dismissal December 21 2022 and lists Maria Estella Dantas Antonichelli as the continuing executive secretary. Decree 8851/2016 article 1 III supplies the executive-secretary substitute during vacancy, absent a specific presidential designation. The December 21 2022 interministerial order 6672, published January 3 2023, identifies Estella as Ministra de Estado das Comunicacoes Substituta; C028 independently records her December 30 substitute signature. Correct inherited capacity titular to vacancy_acting without changing the service interval [2022-12-21,2023-01-01). The January publication date of order 6672 is not an extension of ministerial service.",[]
V5W5D003,retain_unresolved_personal_affiliation,V5W5E003,"Telebras 57th eligibility committee minutes of February 11 2022 review her Form C signed December 14 2021 and state that requirements/impediments were answered yes/no. Those are fiscal-council eligibility assertions, not an explicit personal non-affiliation declaration. The original proposal and 283rd board assessment address credentials and eligibility. No named personal party or universal non-affiliation observation is established. Prior PSD byline, Fabio Faria employment, and scoped registry non-matches remain insufficient; retain UNKNOWN.",[]
V5W5D004,retain_unresolved_personal_affiliation,V5W5E004,"Newly retrieved issuer-authored Petrobras 2022 reference form version 7, available in Latibex September 21 2022, identifies the exact full name and Casa Civil office. Physical page 532 (printed page 527) records self-declared corporate independence, politically exposed person status and absence of specified convictions. Physical pages 526,538,572,574,575 add board appointment, committee/subordination information. None states personal party affiliation or non-affiliation. The N/A rows concern a different disclosure field and cannot be recoded as unaffiliated. Legacy Petrobras assembly link fails DNS; official August 15 2022 announcement confirms nomination only. Retain UNKNOWN for December 30-31 2022; these findings also cannot resolve March 30 2021 and are not backprojected there.",[]
V5W6D01,resolved_official_registry_historical_membership_with_exact_identity,V5W6E01;V5W6E02;AFF-044;BOL-E07;BOL-E08;C061,"Supersede C061/R26 residual UNAFFILIATED alternative for Sachsida. Exact identifier in TCU bulletin matches the TSE official UNIAO record, whose historical entry is May27 2013, status REGULAR, no departure/cancellation/exclusion and no pending marker. MME identifies the same public officeholder. Together with independently dated2017 DEM membership, the unchanged historical entry in successor registry directly supports continuing predecessor membership through February8 2022 merger and ministerial service. Atlas sfp and Spanish/German historical no-party labels remain retained conflicting source assertions, but no longer credible competing trajectories against exact-person official historical record. Academic2024 DEM label remains obsolete and non-independent. This does not call the2026 extract a contemporaneous2022 certificate or prove arbitrary unrecorded events impossible; apply declared historical-observation continuity with targeted contradictory-event search, now backed by registry evidence. No service dates changed.",[]
V5W7D001,date_bounds_retained_after_new_actual_event_and_original_record_review,C073;C075;V5W7E004,"Retain Dec4-Dec6 candidates and primaryDec6. New retrospective Folhapress evidence corroborates actual ministerial return on Dec4, while C073 retains actual parliamentary voting Dec5 and licenceDec6. Reviewed original dispatch sections Dec6-16 did not yield a possession or handoff record. Neither announcement nor legislative administrative date alone resolves the conflicting actual histories; no defensible narrowing. Move Ana Carla vacancy end and Sabino titular start jointly under the existing closing-state rule.",[]
V5W7D002,date_bounds_retained_with_actual_event_and_notification_semantics_refined,C073;C075;V5W7E001;V5W7E002;V5W7E003,"Retain Nov14-Nov17 candidates and primaryNov17. The Nov14 Orla ceremony is now retrospectively verified, improving the earlier scheduled-only evidence, but an event at one time cannot exclude a later same-day closing-state handoff. The Nov15 weekly recap does not date the quoted remarks independently. Original Chamber dispatch explicitly makes parliamentary leave effective at notificationNov17 19h36, not ministerial possession. Official Secom/EBC reporting proves ministerial exercise on the morning of17, independently supporting that latest bound. Decree13/publication14 and expectedreturn14 remain admissible; no exact handoff record excludes dates14-16.",[]
V5W7D003,historical_affiliation_continuity_retained_after_official_scoped_search,C075;V5W7E005,"Retain the C075 PSDB affiliation and its historical-observation/identity/forward-continuity status. A new official historical SGIP channel screened27 PSDB governing bodies and1131 member entries with no Ana Carla match. That universe contains party officers only; non-match establishes neither non-affiliation nor departure and cannot rebut the positive dated2016 observation. No source found a fresh exact-person positive, resignation, expulsion, new affiliation or exhaustive negative covering the service dates. No upgrade to current certification and no new invented alternative.",[]
C013,completion_adjudication,C013,"The explicit January 7 report says personally affiliated to PSC since 2020, corroborated before and after January. Retain PSC continuity. A January 2022 Gazeta do Povo list calling him sem partido is rejected against these specific dated membership reports. Retain that contradiction as a source assertion, not a hypothetical new departure.","[{""rejected_source"": ""https://www.gazetadopovo.com.br/republica/reforma-ministerial-bolsonaro-2022/"", ""claim"": ""UNAFFILIATED""}]"
C062,service_adjudication_retained_affiliation_blocker_superseded_by_C066,C062,"Continuing secretary-executive and documented designated minister substitute; Mandetta formally left April 16 and Teich took possession April 17. Retain this one-day vacancy succession. The dissertation appendix labels his 2015/17 state service PMDB, while contemporary accounts say linked to PMDB and later accounts record denials of candidacy. Those are not an explicit dated personal affiliation observation during the 2020 federal tenure. Preserve the positive historical PMDB assertion as a credible possible MDB alternative, without declaring alternatives exhaustive. No-party assertions about Bolsonaro or Ana Pellini in the same articles do not describe Gabbardo. Subsequent C066 applies consistent positive-observation continuity to select the primary MDB affiliation; retain this research-stage uncertainty record as superseded, not as an active blocker.","[{""state"":""PARTY"",""party_id"":""MDB""},{""state"":""UNKNOWN""}]"
V5ROOTD002,user_authorized_provisional_primary_imputation,,"The user explicitly required complete primary coverage even if historical research left unknown affiliations, provided the chosen assumptions are flagged. Preserve all original UNKNOWN affiliation records and unrestricted historical alternatives. A separate primary_assumptions table assigns no additional party contribution (assumed UNAFFILIATED) over residual blocker spells. This is a modelling convention, not an inference from employment, career, party sponsorship or partial-list absence. Existing actual officeholder witnesses support every party retained in the provisional union. Historical identified/unidentified counts and --require-complete remain evidence-based; --require-primary-coverage separately verifies the fully populated primary export.","[{""state"":""UNKNOWN""}]"
R02,adjudicated_with_residual_limitations,AFF-001,Split PRB→PROS March 18; actual service ends at March 31 successor. March 23 announcement is rejected as service end.,affiliation_change_supported; service_end_disputed
R13,unidentified,prior_evidence_assertions.csv,UNKNOWN Apr2–Jul11: PR nomination not membership and conflicting labels do not establish exhaustive alternatives. Specific July11 no-party roster selected for forward continuity; no fabricated departure date or backward extrapolation.,affiliation_unresolved
R09,adjudicated_with_residual_limitations,AFF-003; prior_evidence_assertions.csv,Reject Atlas PSDB; dated PSD and April3 MDB supported; multiple cabinet witnesses mask set effect.,atlas_label_contradicted
R12,adjudicated_with_residual_limitations,LEG-f0e3878b0b42,Original Podemos notice freshly recovered: cancellation May24; no-party at May28 office entry. Atlas rejected.,conflict; prior_primary_source_claim_needs_recovery
R29,adjudicated_with_residual_limitations,"MAIN_AUDIT_REPORT.md sections 3,6; prior_evidence_assertions.csv","Atlas blank Lula exits assert entry-state only. Pinned later actual roster supplies successors; Amaro and remaining unidentified individuals exported UNKNOWN, not inferred from military role.",coverage_limit
R27,adjudicated_with_residual_limitations,AFF-034; AFF-035; AFF-036; OFF-041,"Sabino July18 entry and December8 2025 cancellation; no-party continuity afterward, office exit separately December23.",dated_cancellation_supported_in_audit; last_witness_check_required
R03,adjudicated_with_residual_limitations,office_audit/occupancy_discrepancies.csv,"April 13 resignation request, April 14 publication-effective baseline; detailed act not independently retrieved, adjudicated date.",effective_boundary_unresolved
R04,adjudicated_with_residual_limitations,office_audit/occupancy_discrepancies.csv,April 19 formal dismissal replaces April 15 request; composition uses legal service convention.,effective_boundary_unresolved
R01,adjudicated_with_residual_limitations,prior_evidence_assertions.csv; office_audit/pinned_source_rows.csv,"PROS supported. Daily-close service through March 18, publication-effective end March 19; no election outcomes consulted.",membership_supported; boundary_requires_adjudication
R10,adjudicated_with_residual_limitations,LEG-2f8bf5705498,"PSB departure bounded Oct24–Dec31 2017, latest-admissible convention; Feb2018 notice not departure. Parliamentary interruptions require explicit unknown occupancy where not resolved.",new_external_contradiction; transition_and_capacity_adjudication_needed
R11,adjudicated_with_residual_limitations,AFF-004,PPS/CIDADANIA identity ends for Jungmann March21 2018; no-party continuity follows.,party_departure_supported; last_witness_check_needed
R05,adjudicated_with_residual_limitations,AFF-008; LEG record for Quintella; CODE-04,Literal PR retained as stable PL organization with dated PR display; current source claims accepted and in-tenure conflicts screened.,party_supported; fine_grained_service_requires_screen
R08,adjudicated_with_residual_limitations,OFF-015; OFF-017,Edson Duarte PV vacancy successor from April6 baseline; April6–7 source boundary uncertainty. Same-party succession does not remove PV.,party_supported; succession_date_semantics_require_adjudication
R06,adjudicated_with_residual_limitations,AFF-009; office_audit/occupancy_discrepancies.csv,"PTB Yomura vacancy acting from December 29, corroborated by December 29 signed wage decree, avoids invented New Year gap.",party_supported; succession_dates_unresolved
R07,adjudicated_with_residual_limitations,OFF-049; OFF-050,"Missing MDIC restored; Jan4 succession as inherited daily baseline, Jan3–5 conflicting dates retained. Same-party replacement composition-neutral.",party_supported; succession_dates_unresolved
R28,adjudicated_with_residual_limitations,AFF-038; prior_evidence_assertions.csv,Waldez PDT formal membership continues through internal leave; Frederico/Gustavo explicit no-party evidence continues; sponsorship never assigned as membership.,personal_party_not_sponsorship; continuity_review_needed
R30,adjudicated_with_residual_limitations,OFF-031–OFF-034,Onyx incoming transition retained but excluded from outgoing cabinet; Alckmin CETG excluded. Parliamentary service interruptions screened separately; unverified occupancy is explicitly unknown.,scope_recommendation; service_events_require_adjudication
