office_inventory_id,office_id,source_office_name,source_start,source_end,disposition,evidence_ids,rationale
OFFINV-114,lula_3-pesca-e-aquicultura,Pesca e Aquicultura,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-115,lula_3-planejamento,Planejamento e Orçamento,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-116,lula_3-portos-e-aeroportos,Portos e Aeroportos,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-117,lula_3-povos-indigenas,Povos Indígenas,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-118,lula_3-previdencia-social,Previdência Social,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-119,lula_3-relacoes-exteriores,Relações Exteriores,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-123,lula_3-relacoes-institucionais,Secretaria de Relações Institucionais,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-120,lula_3-saude,Saúde,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-124,lula_3-secretaria-geral,Secretaria-Geral da Presidência da República,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-125,lula_3-trabalho,Trabalho e Emprego,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-126,lula_3-transportes,Transportes,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-127,lula_3-turismo,Turismo,2023-01-01,2026-03-20,included_dated_eligibility,OFF-035,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-103,lula_3-empreendedorismo-da-microempresa-e-da-empresa-de-pequeno-porte,"Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",2023-09-13,2026-03-20,included_dated_eligibility,OFF-036,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-121,lula_3-secretaria-extraordinaria-da-presidencia-da-republica-para-apoio-a-reconstrucao-do-rio-grande-do-sul,Secretaria Extraordinária da Presidência da República para Apoio à Reconstrução do Rio Grande do Sul,2024-05-15,2024-09-12,included_dated_eligibility,OFF-037;OFF-038;OFF-039;OFF-040,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
OFFINV-081,bolsonaro-comunicacoes,Ministério das Comunicações,2020-06-10,2023-01-01,included_dated_eligibility,OFF-048,Retained legal interval independently of observed service envelope; uncovered dates exported UNKNOWN_OCCUPANCY.
