section,line,anchor,current,reason,new,source,kind,group,priority
One-gap relaxation,2701,majority. Unlike PSC's departure,"The strongest 2018 one-gap case is PCdoB--PODE omitting PSDB. The full span contains sixteen parties and holds 287 seats with 53.59 percent of all valid votes. Omitting PSDB removes thirty seats, leaving fifteen parties with exactly 257 seats and 47.59 percent of the vote. Because PSDB is underrepresented, this exclusion raises the differential by 0.76 seats, from 12.10 to 12.86. The coalition retains its seat majority while losing its vote majority. Unlike PSC's departure from the Bolsonaro-period cabinet, this exclusion leaves the coalition at the seat-majority threshold. The one-gap search thus yields a larger vote deficit than the PT--PSDB exact-connected inversion.",This indirect cabinet dependency occurs in an ideological appendix paragraph.,"The one-gap PSDB exclusion remains unchanged, but its comparison with a PSC departure ending an observed cabinet inversion is unsupported.",generated/cabinet_v5/cabinet_analysis_before_after.csv (comparison_baseline=manuscript_reported),interpretive,C,BLOCKING
Cabinet coalitions and ideological intervals,3073,table keeps two operations separate,"Table \ref{tab:cabinet-interval-bridge} compares observed cabinet coalitions with the ideological intervals that contain or approximate them. The bridge table keeps two operations separate: cabinet periods are defined from the party labels observed in the cabinet data, while ideological closures and vote-seat calculations use the translated election-year party set. The interval analysis therefore remains tied to the Chamber delegation produced by each election. The connected closure of a cabinet is the smallest no-gap interval in the filtered parliamentary order containing its represented election-year parties. Gaps count represented parties inside that closure that are not cabinet members. Cabinet votes and seats continue to sum the full translated cabinet party set; the restriction applies to the ideological diagnostics. The final columns report the closest minimal connected winning interval and, where one exists, the closest minimal connected inversion. This table links the observed coalition analysis to the interval analysis by showing whether realized cabinet coalitions are compact ideological blocs or sparse selections from a wider ideological span.",The bridge appendix describes the wrong order of operations.,Cabinet periods are now defined only after daily election-year translation and recompression. Parliamentary closure still filters represented cabinet parties without changing cabinet votes/seats.,processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv; generated/cabinet_v5/cabinet_analysis_periods.csv,methodological,B,BLOCKING
Cabinet coalitions and ideological intervals,3091,The first result is that no observed cabinet,"The first result is that no observed cabinet coalition is itself a contiguous ideological interval. Every cabinet period has gaps inside its connected closure. The number of omitted represented parties ranges from seven to sixteen. Brazilian cabinet coalitions are therefore selective combinations within wider parliamentary ideological spans, omitting many represented parties between their leftmost and rightmost members.",The universal nonconnectedness claim and seven-to-sixteen range rely on obsolete membership.,"All 53 periods still have nonzero closure gaps; the range is now 4-16 represented parties, not 7-16. The scope includes 8 mixed and 2 fully provisional periods.",processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv,numerical; interpretive,A,BLOCKING
Cabinet coalitions and ideological intervals,3116,All connected closures in Table,"This matters for the interpretation of cabinet inversions. The observed cabinet inversions are sparse coalitions, but their connected closures are not inversions. All connected closures in Table \ref{tab:cabinet-interval-bridge} are vote-and-seat majorities. The 2016.2 cabinet, for example, has 46.54 percent of the vote and 259 seats, but its connected closure runs from PCdoB to PR and contains 19 represented parties. That closure has 77.46 percent of the vote and 408 seats. The inversion therefore does not come from a compact left-to-right ideological bloc. It comes from a selective cabinet coalition that retains a seat majority while omitting twelve represented parties inside its ideological span.","The universal claim, period ID, and example membership must be checked against new periods.","48 of 53 closures are vote-and-seat majorities; five are neither: 2022.1-2022.4 have 39.197948917097875% and 203 seats; 2022.5 has 48.80269913179969% and 251 seats. Dilma CV5-005/2016.3 has PCdoB-PR closure, 77.46357740119768%, 408 seats, 12 gaps.",processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv,interpretive,C,BLOCKING
Cabinet coalitions and ideological intervals,3154,The same logic applies to the more durable,"The same logic applies to the more durable Temer-period inversion. The 2017.1 cabinet contains DEM, PMDB, PP, PPS, PSB, PSD, PSDB, and PV. Its connected closure runs from PSB to DEM, contains 24 represented parties, and has sixteen gaps. The observed cabinet has 49.91 percent of the vote and 266 seats, while the parliamentary PSB--DEM closure has 78.27 percent of the vote and 409 seats. The cabinet inversion is therefore not a connected ideological majority. It is a sparse center-to-right cabinet coalition located near the connected inversion region identified in the interval analysis. Its closest minimal connected winning interval is PSB--PTN, which is itself an inversion with 48.92 percent of the vote and 260 seats.",The paragraph explains a historical cabinet inversion that disappears.,The old Temer inversion and its eight-party set are absent as a primary inversion; reassess the full ideological-location argument and nearest-inversion comparison.,generated/cabinet_v5/cabinet_analysis_before_after.csv (comparison_baseline=manuscript_reported); processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv,interpretive,C,BLOCKING
Cabinet coalitions and ideological intervals,3196,The Dilma coalitions have a different,"The Dilma coalitions have a different ideological profile from the later Temer coalitions. They are also sparse, but they are left-anchored. The cabinet sets before Temer include PT, PCdoB, and PDT while extending to parties such as PMDB, PSD, PR, PP, and PTB. Their closures run from PCdoB to either PR or PP, and their gap structure contains many center, center-right, and right parties that are not cabinet members. The impeachment transition changes this structure. From 2016.3 to 2016.4, PCdoB, PDT, PT, and PR leave, while PSB, PPS, PV, PSD, PSDB, PP, and DEM enter. In the ideology classification, the parties leaving are concentrated on the left and center-left, with one right party, while the parties entering are concentrated in the center, right, and far right. The cabinet remains punctured, but its ideological anchor shifts rightward.",Qualitative cabinet membership and transition claims can be stale without a hardcoded statistic.,"Re-evaluate descriptive left anchors, member entry/exit, and span changes using the V5 bridge and daily memberships.",processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv,interpretive,C,IMPORTANT
Cabinet coalitions and ideological intervals,3208,2016.3 to 2016.4 alone increases,"The ideology diagnostics in the table confirm this transition. On the project's ideology scale, the average unweighted cabinet ideology rises from the pre-Temer sequence to the post-impeachment Temer sequence. The transition from 2016.3 to 2016.4 alone increases the unweighted cabinet ideology mean by 1.53 points and the seat-weighted mean by 1.49 points. This is the substantive difference between the two sparse coalition types. The pre-Temer coalitions are left-anchored and broad. The Temer coalitions are center-to-right and broad. Both are non-contiguous, but they occupy different regions of the ideological order.",Reused period labels refer to different dates and memberships.,"The actual May 12, 2016 transition is 2016.4 -> 2016.5. Unweighted means 4.95 -> 6.718181818181819 (delta 1.7681818181818185); seat-weighted 5.2699551569506715 -> 6.924913294797687 (delta 1.6549581378470153). The bridge within-administration delta columns are blank at this administration boundary; compare the two rows explicitly.",processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv,numerical; transition,A,BLOCKING
Cabinet coalitions and ideological intervals,3231,The Bolsonaro-period cabinets are more,"The Bolsonaro-period cabinets are more concentrated on the right and far right, and their connected closures are narrower than the 2014 and 2022 closures. The PSC-inclusive 2021.3/2022.1 cabinet has 47.25 percent of the vote and exactly 257 seats. Its parliamentary closure, PSD--DEM, contains sixteen parties and seven gaps, has 56.67 percent of the vote and 292 seats, and is a vote-and-seat majority. Its closest minimal connected winning interval is PSDB--DEM, with 50.82 percent of the vote and 257 seats. The closest minimal connected inversion is PT--PSDB, with 49.95 percent and 267 seats, but its Jaccard overlap with the cabinet is only 0.095. The exact-connected inversion is therefore located in a different ideological region from the sparse right-side cabinet inversion.",The old PSC-inclusive cabinet and overlap interpretation no longer describe the chronology.,"Update cabinet membership, closure and Jaccard examples from V5; distinguish the unchanged 2018 ideological inversion from the absent primary cabinet inversion.",processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv; generated/cabinet_v5/cabinet_analysis_before_after.csv (comparison_baseline=manuscript_reported),interpretive,C,BLOCKING
Cabinet coalitions and ideological intervals,3287,The 2023.1 Lula cabinet returns,"The 2023.1 Lula cabinet returns to a left-anchored structure, but it is not a compact left coalition. It contains PSOL, PCdoB, PT, PDT, PSB, REDE, MDB, PSD, and UNIÃO. Its parliamentary closure runs from PSOL to UNIÃO, contains 20 represented parties, and has eleven gaps. The observed cabinet is an inversion, with 48.89 percent of the vote and 263 seats, but its connected closure has 79.83 percent of the vote and 407 seats. The closest minimal connected winning interval is PT--PP, a broad vote-and-seat majority with 57.18 percent of the vote and 284 seats. The closest minimal connected inversion is MDB--UNIÃO, which lies to the right of the cabinet's left anchor.","The cabinet vector survives, but the paragraph must be checked with the regenerated comparison table and new chronological scope.","Lula CV5-041/2023.1 survives: PSOL-UNIÃO closure has 20 parties, 11 gaps, 79.83088706012424% and 407 seats; nearest minimal inversion MDB-UNIÃO has Jaccard 0.1875. Preserve the surviving values while reconciling the new provenance and full-calendar context.",processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv,interpretive,C,IMPORTANT
Cabinet coalitions and ideological intervals,3352,"2018, the PSC-inclusive cabinet period","The two analyses therefore meet at a specific structural point. Cabinet coalitions identify realized governing party sets. Connected intervals identify the seat-vote geometry of ideological blocs. The cabinet-to-interval comparison shows that realized cabinets may draw on seat asymmetries without being connected blocs themselves. In 2014, the pre-Temer coalitions are sparse and left-anchored, while the Temer coalitions are sparse and shifted rightward. In 2018, the PSC-inclusive cabinet period reaches exactly 257 seats without a vote majority, while its connected closure has both vote and seat majorities. In 2022, the Lula cabinet is a broad realized inversion, while the compact connected inversion lies on the right. The gap between cabinet coalitions and connected intervals is therefore not a nuisance. It shows how Brazil's coalition presidentialism combines sparse cabinet construction with an ideological distribution in which seat-efficient connected blocs are often located elsewhere.",The appendix synthesis repeats the removed 257-seat cabinet episode.,The 2018 primary cabinet domain has no inversion; retain separately supported ideological results and reassess the final domain synthesis.,generated/cabinet_v5/cabinet_inversions.csv,interpretive,C,BLOCKING
Cabinet coalitional inversions,995,Provenance block cabinet-inversion-overview,"Four of the twenty-three cabinet periods combine a Chamber majority
with less than half of the national federal-deputy vote. They occur
under all four administrations, but differ in their distance from a
vote majority, the size of their seat advantage, and their duration.
Table~\ref{tab:cabinet-inversions} reports these periods and the
within-district and between-district components of their differentials.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-inversions; metric=count; aggregation=sum; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet. | summary=cabinet-periods; metric=count; aggregation=sum; value: recorded 23; current keyed value 53. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Cabinet coalitional inversions,1038,Provenance block cabinet-dilma-2016,"The first inversion emerges during the contraction of Dilma Rousseff's
cabinet in April 2016. After PRB and PP leave, the remaining parties
retain 259 seats with 46.54 percent of the 2014 vote. Exact national
proportionality would assign them 238.73 seats, leaving them 18.27 seats
short of a Chamber majority. Their 20.27-seat differential, corresponding
to \(R_C=1.085\), is therefore sufficient to preserve the majority. This
configuration, period 2016.2, lasts two days and ends with PSD's
departure.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,case_id=cabinet/2014/2016.2: old semantic key resolves to 0 rows; reassess membership/date identity before selecting a new row.,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv,numerical; factual,A,BLOCKING
Cabinet coalitional inversions,1073,Provenance block cabinet-temer-2017,"The later Temer inversion begins after PTB leaves the cabinet in
December 2017. The remaining parties retain 266 seats with 49.91 percent
of the vote. Their proportional quota is 256.05 seats, only 0.95 seats
below the majority threshold. A differential of 9.95 seats and
\(R_C=1.039\) therefore produce a larger seat majority than in the Dilma
episode despite a substantially smaller representational advantage. The
comparison shows that the political consequence of a coalition's
differential depends on its proportional distance from 257 seats: a party
set already close to a vote majority requires much less overrepresentation
to cross the legislative threshold. This configuration persists for 100
days.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,case_id=cabinet/2014/2017.1: old semantic key resolves to 0 rows; reassess membership/date identity before selecting a new row.,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv,numerical; factual,A,BLOCKING
Cabinet coalitional inversions,1113,Provenance block cabinet-bolsonaro-transition,"The cabinet sequence linked to the 2018 election reveals a different
relationship. Following NOVO's departure, PP's entry in August 2021
brings the cabinet party set to exactly 257 seats with 47.25 percent of the
vote. Its proportional quota of 242.38 seats leaves a 14.62-seat gap,
exactly matched by its differential, with \(R_C=1.060\). This configuration
continues for 238 days, from August 4, 2021 through March 29, 2022.
PSC's departure then reduces the coalition from 257 to 250 seats and
ends the inversion. Yet PSC itself was underrepresented. Removing it
therefore lowers the coalition's proportional quota by more than it lowers
its actual seat total, increasing the remaining coalition's differential
from 14.62 to 16.60 seats. The coalition is thus more overrepresented
relative to its vote share, but no longer holds a Chamber majority. This
distinguishes overrepresentation from inversion: the former compares a
coalition's seats with its proportional quota, whereas the latter requires a
coalition with less than half of the vote to cross the 257-seat majority
threshold.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,case_id=cabinet/2018/2021.3/2022.1: old semantic key resolves to 0 rows; reassess membership/date identity before selecting a new row. | election_year=2018; cabinet_period=2022.2; s_C: recorded 250; current keyed value 158. Reused period IDs may denote a different cabinet. | election_year=2018; cabinet_period=2022.2; d_C: recorded 16.601833628303453; current keyed value 9.895770534515167. Reused period IDs may denote a different cabinet.,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv; processing/Processing/output/decomposition/raw/coalition_period_quantities.csv,numerical; factual,A,BLOCKING
Cabinet coalitional inversions,1217,Provenance block cabinet-components-and-party-size,"The within-district component is positive in every cabinet inversion, but
the pattern extends to the entire cabinet sequence: \(A_C>0\) in all
twenty-three periods, whereas \(B_C>0\) in only six. Cabinet composition
helps explain the difference. Parties that enter cabinet are larger on average
than parties that never do, with mean vote shares of 5.63 versus 0.91 percent
in 2014, 5.05 versus 1.85 percent in 2018, and 5.80 versus 1.72 percent in
2022. Larger parties are also usually on the positive side of the
within-district component. Among parties receiving at least 5 percent of the
national vote, \(A_i>0\) for six of seven in 2014, eight of nine in 2018,
and all seven in 2022.\footnote{The parties above 5 percent with positive
\(A_i\) are PSDB, PMDB, PP, PSB, PSD, and PR in 2014; PT, PSDB, PSD, MDB,
PSB, PP, PR, and PRB in 2018; and PL, PT, UNIÃO, PP, PSD, MDB, and
Republicanos in 2022. The exceptions are PT in 2014 and PSL in 2018.}
In every distinct cabinet composition, the positive \(A_i\) contributions of
members above this 5 percent benchmark exceed the combined negative
contributions of the remaining members. Cabinet coalitions therefore
repeatedly accumulate a positive within-district component. No equivalent
pattern appears for \(B_C\), which may reinforce or offset that advantage
depending on where coalition support is distributed across districts.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-component-signs; metric=A_C; aggregation=count_positive; value: recorded 23; current keyed value 53. Reused period IDs may denote a different cabinet. | summary=cabinet-component-signs; metric=B_C; aggregation=count_positive; value: recorded 6; current keyed value 19. Reused period IDs may denote a different cabinet. | election=2014; ever_in_cabinet=true; mean_vote_share: recorded 0.056346958243987964; current keyed value 0.05720562356882122. Reused period IDs may denote a different cabinet. | election=2014; ever_in_cabinet=false; mean_vote_share: recorded 0.00910562507883415; current keyed value 0.008347979203981275. Reused period IDs may denote a different cabinet. | election=2018; ever_in_cabinet=true; mean_vote_share: recorded 0.05052679368288137; current keyed value 0.05412186779334364. Reused period IDs may denote a different cabinet. | election=2018; ever_in_cabinet=false; mean_vote_share: recorded 0.018508552895346038; current keyed value 0.018351252882662542. Reused period IDs may denote a different cabinet. | election=2022; ever_in_cabinet=true; mean_vote_share: recorded 0.05799012661049294; current keyed value 0.05567791806230482. Reused period IDs may denote a different cabinet. | election=2022; ever_in_cabinet=false; mean_vote_share: recorded 0.01724326701355132; current keyed value 0.016593249162617108. Reused period IDs may denote a different cabinet.,processing/Processing/output/decomposition/tables/report/party_size_cabinet_summary.csv; processing/Processing/output/decomposition/tables/report/party_size_groups.csv; processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Cabinet coalitional inversions,1317,Provenance block cabinet-decomposition-thresholds,"The four inverted cabinet periods differ in how this positive \(A_C\)
interacts with between-district weighting. In 2016.2, \(A_C=15.74\) raises
the coalition from its proportional quota of 238.73 to 254.47 seats, still
short of a Chamber majority. The additional \(B_C=4.53\) is therefore
needed to cross the 257-seat threshold. In 2017.1, the 2018-linked
configuration, and 2023.1, \(A_C\) alone is already sufficient to cross the
threshold, while negative \(B_C\) reduces the resulting seat advantage. The
largest offset occurs in the 2018 inversion, where \(A_C=19.07\) and
\(B_C=-4.45\), leaving exactly 257 seats. The common feature of the cabinet
inversions is thus the positive within-district component; between-district
weighting determines whether that advantage is reinforced or reduced and,
in 2016.2, whether it is enough to produce an inversion.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-inversions; metric=count; aggregation=sum; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet. | summary=dilma-2016-within-adjusted-quota; metric=within_adjusted_quota; aggregation=identity: old semantic key resolves to 0 rows; reassess membership/date identity before selecting a new row. | case_id=cabinet/2014/2016.2: old semantic key resolves to 0 rows; reassess membership/date identity before selecting a new row. | case_id=cabinet/2018/2021.3/2022.1: old semantic key resolves to 0 rows; reassess membership/date identity before selecting a new row.,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv; processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Cabinet coalitional inversions,1368,Provenance block cabinet-overrepresentation,"The full cabinet sequence shows that overrepresentation is much more common
than inversion. Figure~\ref{fig:timeline} shows that twenty of the
twenty-three periods have \(R_C>1\); the only three underrepresented
configurations occur during the Bolsonaro administration. Most
overrepresented cabinets do not reverse majority status: some remain below
both 50 percent of the vote and 257 seats, while others exceed both. The four
inversions are the cases in which these two thresholds diverge, with the
coalition holding at least 257 seats while remaining below 50 percent of the
vote.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-periods; metric=d_C; aggregation=count_positive; value: recorded 20; current keyed value 50. Reused period IDs may denote a different cabinet. | summary=cabinet-periods; metric=count; aggregation=sum; value: recorded 23; current keyed value 53. Reused period IDs may denote a different cabinet. | summary=cabinet-inversions; metric=count; aggregation=sum; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Cabinet coalitional inversions,1419,Provenance block cabinet-inversion-duration,"Measured over time, inversions occupy 102 of the 1461 covered days
following the 2014 election, 238 of 1461 following the 2018 election,
and 255 of 1174 in the observed period following the 2022 election.
The mismatch therefore extends beyond the brief 2016 transition to
configurations maintained for several months. Its appearance and
disappearance follow changes in cabinet membership: party entry or exit
can move a coalition across the seat-majority threshold, the vote-majority
threshold, or both. The same electoral distribution can therefore sustain
different majority relations as its parties are recombined in government.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,election_year=2014; inversion_days: recorded 102; current keyed value 5. Reused period IDs may denote a different cabinet. | election_year=2018; inversion_days: recorded 238; current keyed value 0. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/raw/observed_cabinet_duration_summary.csv,numerical; factual,A,BLOCKING
Comparing decomposition patterns across coalition domains,1894,Provenance block party-within-contributions,"The \(A_i\) contributions of individual coalition members help explain the
persistent positive within-district component of cabinet coalitions.\footnote{The
largest member-party \(A_i\) and \(B_i\) contributions for the focal coalitions
are reported in Appendix~\ref{app:party-contributions}.}
Cabinets repeatedly combine large parties carrying substantial positive
\(A_i\) contributions. In the 2018 cabinet inversion, for example, PP and PR
contribute \(7.32\) and \(6.37\) seats to \(A_C\). In the initial 2023
cabinet, UNIÃO and PT contribute \(9.36\) and \(9.07\) seats. Cabinet
membership therefore repeatedly places substantial positive \(A_i\)
contributions in the same coalition. This pattern extends beyond the
inverted configurations: \(A_C\) is positive in all twenty-three observed
cabinet periods.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-component-signs; metric=A_C; aggregation=count_positive; value: recorded 23; current keyed value 53. Reused period IDs may denote a different cabinet.,processing/Processing/output/decomposition/raw/party_accounting_all_years.csv; processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Comparing decomposition patterns across coalition domains,1953,Provenance block party-between-contributions,"Cabinet coalitions show no comparable tendency in the between-district
component: \(B_C\) is positive in only six of the twenty-three periods.
The two components can also pull in opposite directions for the same
party. In the initial 2023 cabinet, for example, PT contributes \(9.07\)
seats to \(A_C\) but \(-2.13\) seats to \(B_C\). Among the 2014
inversions, between-district weighting reinforces the within-district
component in the Dilma cabinet inversion and the PTB--PR interval, but
offsets it in the Temer cabinet inversion and the other three minimal
connected inversions. The contrast is especially clear in 2018. The
observed cabinet inversion has a large positive within-district component
(\(A_C=19.07\)) that more than offsets its negative between-district
component (\(B_C=-4.45\)). The PT--PSDB connected inversion instead combines positive contributions
from both components (\(A_C=6.57\), \(B_C=4.18\)). Its proportional
quota is only \(0.75\) seats below the majority threshold, so either
component individually exceeds that shortfall. Between-district weighting therefore enlarges the PT--PSDB coalition's
seat majority, whereas it reduces the seat advantage of the observed
2018 cabinet inversion.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-component-signs; metric=B_C; aggregation=count_positive; value: recorded 6; current keyed value 19. Reused period IDs may denote a different cabinet. | summary=cabinet-periods; metric=count; aggregation=sum; value: recorded 23; current keyed value 53. Reused period IDs may denote a different cabinet.,processing/Processing/output/decomposition/raw/party_accounting_all_years.csv; processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Discussion,2155,Provenance block discussion-coalition-domains,"The distinction matters because coalition inversion is configuration-dependent.
In 2018, the 238-day PSC-inclusive cabinet period and the PT--PSDB
interval both invert, but they combine different party sets.
The one-gap robustness check preserves the strongest 2014 and 2022
compositions and outcomes, while 2018 is more sensitive to admissibility:
the relaxation yields a stronger inversion, and the all-party universe removes
the exact-connected case (Appendix~\ref{app:ideological-robustness}). Observed
cabinets and ideologically constrained potential coalitions therefore reveal
different majority configurations within the same electoral distribution.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,case_id=cabinet/2018/2021.3/2022.1: old semantic key resolves to 0 rows; reassess membership/date identity before selecting a new row.,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv,numerical; factual,A,BLOCKING
Discussion,2184,Provenance block discussion-cabinet-ratios,"At the coalition level, \(R_C\) provides the bridge between party
representation and majority status. It is a quota-weighted aggregation of the
member-party ratios, not a simple count of overrepresented parties. The cabinet
timeline shows that relative advantage is common: 20 of 23 party sets have
\(R_C>1\), but only four invert. Majority-changing advantage depends jointly
on the size of \(R_C-1\) and on \(q_C\), because the latter fixes how many
surplus seats are needed to reach 257. The contrast between the
MDB--UNIÃO interval, whose quota is closer to a majority, and the more strongly overrepresented
PP--PL interval makes this distinction especially clear.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-periods; metric=d_C; aggregation=count_positive; value: recorded 20; current keyed value 50. Reused period IDs may denote a different cabinet. | summary=cabinet-periods; metric=count; aggregation=sum; value: recorded 23; current keyed value 53. Reused period IDs may denote a different cabinet. | summary=cabinet-inversions; metric=count; aggregation=sum; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Discussion,2218,Provenance block discussion-component-signs,"The decomposition of the exact-connected domain adds a second comparative
result. The within-district component is positive in all four observed cabinet
inversions and all seven minimal connected inversions. Between-district
weighting reinforces it in the PTB--PR, PT--PSDB, MDB--UNIÃO, and PP--PL
ideological cases and in the 2016.2 cabinet; it offsets it in the other three
2014 ideological inversions and the remaining cabinet inversions. The balance
between components varies even when every case satisfies the same inversion
criterion.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-inversions; metric=count; aggregation=sum; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Conclusion,2312,Provenance block conclusion-inversion-comparison,"The empirical comparison is not uniform across elections or domains. Four
observed cabinet periods invert: two linked to the 2014 election, one
238-day PSC-inclusive period linked to 2018, and the initial Lula cabinet linked
to 2022. Inversions also occur among minimal connected winning coalitions
in all three elections. PP--PL provides a compact seven-party right-side
inversion in 2022, while PT--PSDB has a narrow vote minority in 2018.
Relaxing exact connectedness preserves the strongest 2014 and 2022 results
and reveals stronger 2018 inversion possibilities, while the all-party
sensitivity removes the exact-connected 2018 case.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-inversions; metric=count; aggregation=sum; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet. | election_year=2014; n_inversion_periods: recorded 2; current keyed value 1. Reused period IDs may denote a different cabinet. | case_id=cabinet/2018/2021.3/2022.1: old semantic key resolves to 0 rows; reassess membership/date identity before selecting a new row.,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv; processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv; processing/Processing/output/paper/raw/observed_cabinet_duration_summary.csv; processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Conclusion,2355,Provenance block conclusion-cabinet-inversions,"The coalition representation ratio clarifies the threshold logic. Most observed
cabinet coalitions are overrepresented, but only four combine that advantage
with a vote minority and a seat majority. \(R_C\) measures relative advantage,
\(d_C\) measures its absolute seat value, and \(q_C\) determines the
coalition's proportional distance from 257. Coalition inversion is therefore
not synonymous with overrepresentation. It is the subset of overrepresented
configurations in which the accumulated seat surplus is majority-changing.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-inversions; metric=count; aggregation=sum; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Party contributions to coalition differentials,2433,Provenance block appendix-party-contribution-coverage,"Table~\ref{tab:coalition-party-contributions} reports the member-party
composition of \(d_C\) for the focal cabinet and primary minimal
parliamentary inversions. The complete machine-readable output includes all
four cabinet inversions and all twelve primary exact-connected \(k=0\)
ideological inversions, including the seven minimal cases, together with the
all-party sensitivity results.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-inversions; metric=count; aggregation=sum; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
District contributions to cabinet inversions,2477,Provenance block appendix-district-contribution-coverage,"Table~\ref{tab:cabinet-district-components} summarizes the district
contributions to \(A_C\) in the four distinct cabinet inversions.
Positive and negative sums are calculated separately across districts.
Concentration is measured relative to the positive sum,
\(\sum_d\max(A_{Cd},0)\), before subtracting negative contributions.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-inversions; metric=numerical_vector_group; aggregation=unique_count; value: recorded 4; current keyed value 2. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
Cabinet coalitions and ideological intervals,3098,Provenance block cabinet-closure-gap-range,"The first result is that no observed cabinet coalition is itself a contiguous
ideological interval. Every cabinet period has gaps inside its connected closure.
The number of omitted represented parties ranges from seven to sixteen.
Brazilian cabinet coalitions are therefore selective combinations within
wider parliamentary ideological spans, omitting many represented parties
between their leftmost and rightmost members.",One or more frozen numerical claims or semantic keys disagree with regenerated outputs.,summary=cabinet-closure-gaps; metric=closure_gap_n; aggregation=min; value: recorded 7; current keyed value 4. Reused period IDs may denote a different cabinet.,processing/Processing/output/paper/tables/prose_analysis_summaries.csv,numerical; factual,A,BLOCKING
